backbone,method,split_index,setting,analysis_unit,attribute,metric,gap_max_minus_min,eligible_groups,patient_outcome_aggregation,patient_score_aggregation
vits16,age_erased,0,external_full,patient,sex,brier,0.017240024339484405,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex,ece,0.03203506674174002,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex,sensitivity,0.008547008547008628,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex,fpr,0.010229944166911586,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex,fnr,0.008547008547008628,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex,ppv,0.04977123946616513,2,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,age_group,auroc,0.09551783635546485,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,age_group,auprc,0.3028623180536821,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,age_group,brier,0.01443608283424122,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,age_group,ece,0.03720221919389237,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,age_group,sensitivity,0.043740573152337814,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,age_group,fpr,0.20666945281088323,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,age_group,fnr,0.043740573152337814,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,age_group,ppv,0.12230919765166343,3,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex_age,auroc,0.2195823274254648,6,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex_age,auprc,0.47665870409721794,6,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex_age,brier,0.07717800476263087,6,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex_age,ece,0.06892391887085733,6,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex_age,sensitivity,0.16329966329966328,6,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex_age,fpr,0.21604278074866312,6,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex_age,fnr,0.16329966329966328,6,max_image_outcome,max_calibrated_image_probability
vits16,age_erased,0,external_full,patient,sex_age,ppv,0.23968253968253966,6,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex,auroc,0.03325458889975019,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex,auprc,0.1724208571914464,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex,brier,0.006031428421561326,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex,ece,0.015951301166887158,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex,sensitivity,0.018181818181818188,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex,fpr,0.04835347846100535,2,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,internal_test,patient,sex,fnr,0.018181818181818188,2,max_image_outcome,max_calibrated_image_probability
