backbone,setting,method,n_splits,mean_method_minus_baseline,min_method_minus_baseline,max_method_minus_baseline,improved_splits,metric
vits16,internal_test,age_erased,5,1.1448663737589904e-05,-6.568599902923022e-05,7.31929813287957e-05,3,auroc
vits16,internal_test,age_erased,5,-1.0566736227367313e-06,-1.5379499947468234e-05,9.490328751745464e-06,2,brier
vits16,internal_test,age_erased,5,4.1024029230580374e-06,-0.0005834473355119784,0.0006139663565593381,3,ece
vits16,internal_test,age_erased,5,0.0,0.0,0.0,0,sensitivity
vits16,internal_test,age_erased,5,-0.00045541922642318157,-0.0006535947712418277,0.0,0,specificity
vits16,internal_test,joint_erased,5,-0.00016007908269159986,-0.0002955082742316373,3.748908799761086e-05,1,auroc
vits16,internal_test,joint_erased,5,2.2243021165791603e-05,-4.1123146285980405e-06,5.826957877282449e-05,1,brier
vits16,internal_test,joint_erased,5,0.00017078168037283262,1.4555803845990069e-05,0.000701138003399349,0,ece
vits16,internal_test,joint_erased,5,4.251442453688803e-05,-0.005405405405405461,0.005617977528089901,1,sensitivity
vits16,internal_test,joint_erased,5,-0.003645362544579567,-0.016888600194868375,0.0022653721682848182,2,specificity
vits16,internal_test,sex_erased,5,-0.000152707616110348,-0.00036677791684058825,9.283012266070312e-05,1,auroc
vits16,internal_test,sex_erased,5,1.53116433098531e-05,-1.2181599190464604e-05,4.021669611445344e-05,1,brier
vits16,internal_test,sex_erased,5,2.3376841928589818e-05,-2.0264384199272095e-05,4.823512401349369e-05,1,ece
vits16,internal_test,sex_erased,5,4.251442453688803e-05,-0.005405405405405461,0.005617977528089901,1,sensitivity
vits16,internal_test,sex_erased,5,-0.0029349154234458606,-0.014290354011042505,0.0045307443365695255,2,specificity
