backbone,direction,source,target,attribute,split_index,scheme,confidence_fraction,round,auroc,source_auroc,target_local_auroc,best_C,n_target_unlabelled,n_target_labelled,coordinate_space
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,5,0.5267743581892683,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,6,0.5175261366081476,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,7,0.5093757599208025,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,8,0.5020168677330568,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,9,0.4944073912960276,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,sex,0,confident_self_training,0.5,10,0.48665736597505804,0.5834205759365375,0.7576909236109522,0.01,8524,8505,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,0,0.6613917671770402,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,1,0.6635377342887504,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,2,0.6651973442106438,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,3,0.665182613945065,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,4,0.6644815049886499,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,5,0.6635024591790746,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,6,0.6628663442892053,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,7,0.6618734727040425,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,8,0.6620021687085743,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,9,0.6614581825850014,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,self_training,1.0,10,0.6614446152351261,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,0,0.6613917671770402,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,1,0.6793306463950647,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,2,0.6826475404074444,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,3,0.6861232370197933,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,age65,0,confident_self_training,0.5,4,0.68471921012698,0.6613917671770402,0.9160613905784188,0.1,8524,5649,source-training-image-standardised-patient-mean-coordinates
