backbone,direction,source,target,attribute,k,method,n_draws,mean_auroc,mean_source_auroc,mean_target_local_auroc,mean_gain_over_source,gain_draw_p2_5,gain_draw_p97_5,share_of_ceiling_gap_recovered,anchored_minus_scratch
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,100,anchored,100,0.6056033335208205,0.5618836205010905,0.7216995706545175,0.0437197130197299,-0.01627145946216197,0.09626666291692447,0.27356288892165004,0.012736343126410057
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,200,scratch,100,0.6259680544996497,0.5623048685956205,0.7217044929415798,0.06366318590402932,0.002184420792152978,0.11470892401949818,0.3993935755196971,
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,200,anchored,100,0.6334901167210769,0.5623048685956205,0.7217044929415798,0.07118524812545651,0.01699461860680052,0.11980177541254855,0.4465835375556263,0.007522062221427185
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,10,scratch,100,0.6755893094900831,0.5513977614405952,0.9014071404230645,0.12419154804948805,-0.07945641710162085,0.25551443453021583,0.35482348618923265,
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,10,anchored,100,0.6559299923080156,0.5513977614405952,0.9014071404230645,0.10453223086742038,-0.04167057403574001,0.22613740099098484,0.2986555136645525,-0.01965931718206767
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,20,scratch,100,0.7224897654152497,0.5513931371416139,0.9014207685685167,0.17109662827363573,0.0005108573784263562,0.2803183860248535,0.48880891938774335,
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,20,anchored,100,0.7098104357109319,0.5513931371416139,0.9014207685685167,0.15841729856931827,0.004483079947657197,0.23931976187055679,0.4525851228473685,-0.012679329704317444
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,50,scratch,100,0.7771806730979184,0.5513721203399953,0.9013938343641399,0.2258085527579231,0.09583451606453712,0.31197490022966246,0.6451272698537399,
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,50,anchored,100,0.7638292381676457,0.5513721203399953,0.9013938343641399,0.2124571178276505,0.10130112818745515,0.2949785332642329,0.6069826794031269,-0.013351434930272563
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,100,scratch,100,0.8084357941223338,0.5513423920684848,0.9013842215982205,0.2570934020538489,0.19391195418275212,0.32503959597907306,0.7344647992476825,
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,100,anchored,100,0.8001862738402745,0.5513423920684848,0.9013842215982205,0.2488438817717895,0.1777218084529449,0.3151557292315273,0.7108975578892934,-0.00824952028205944
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,200,scratch,100,0.8336798439238575,0.55115128097872,0.901453166046995,0.2825285629451373,0.2236587032892312,0.3441469467493488,0.8065288112568151,
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,200,anchored,100,0.826986454439554,0.55115128097872,0.901453166046995,0.275835173460834,0.21710375597104012,0.33648742644350704,0.7874213220607501,-0.006693389484303233
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,10,scratch,100,0.5219293920846048,0.5528236160058613,0.7357099547317076,-0.03089422392125658,-0.08360824622591718,0.02126308219488108,-0.1689258155447475,
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,10,anchored,100,0.5565817105947547,0.5528236160058613,0.7357099547317076,0.0037580945888934236,-0.03639707881908735,0.03353148031163223,0.02054879886095235,0.03465231851015001
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,20,scratch,100,0.5234669746119264,0.5528482779287451,0.7357487849727028,-0.029381303316818753,-0.07857329375042058,0.02848519445243636,-0.16064090686067564,
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,20,anchored,100,0.5524696052659038,0.5528482779287451,0.7357487849727028,-0.00037867266284132174,-0.0400751887170057,0.04358618059009273,-0.002070375139803811,0.02900263065397743
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,50,scratch,100,0.5415860666087903,0.5528716562159858,0.7357505900682462,-0.011285589607195369,-0.0706041170122068,0.040855807639935945,-0.06171071412912152,
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,50,anchored,100,0.5621098887657452,0.5528716562159858,0.7357505900682462,0.009238232549759542,-0.03026082693027675,0.048725231508292444,0.050515564341722864,0.020523822156954905
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,100,scratch,100,0.5714386443042563,0.5528158175496101,0.7356911681048528,0.018622826754646153,-0.02610604353594119,0.05739213335574877,0.1018334439174218,
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,100,anchored,100,0.5790590243562633,0.5528158175496101,0.7356911681048528,0.026243206806653378,-0.00846945409388664,0.0610146739428499,0.14350324812487988,0.007620380052007223
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,200,scratch,100,0.5970870586438585,0.5527471645788773,0.735805663181756,0.044339894064981025,0.008800844966630287,0.08561463401829847,0.24221707488801503,
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,200,anchored,100,0.5964555504404047,0.5527471645788773,0.735805663181756,0.04370838586152723,0.00830692086029496,0.07899669497621206,0.2387673131546154,-0.0006315082034537756
vits16,brset_to_mbrset,brset,mbrset,age65,10,scratch,100,0.6365090652699437,0.6325957141418211,0.8697185989121675,0.003913351128122489,-0.17582216962127312,0.11563979401692177,0.016503473006886572,
vits16,brset_to_mbrset,brset,mbrset,age65,10,anchored,100,0.6860830227638999,0.6325957141418211,0.8697185989121675,0.053487308622078976,-0.053305549959709875,0.1346993352135374,0.22556788929875507,0.04957395749395649
vits16,brset_to_mbrset,brset,mbrset,age65,20,scratch,100,0.682449465805131,0.6328583455952913,0.8699283475145543,0.04959112020983944,-0.07975785298445394,0.12556950930842556,0.20918344711840967,
vits16,brset_to_mbrset,brset,mbrset,age65,20,anchored,100,0.7186459471562919,0.6328583455952913,0.8699283475145543,0.08578760156100058,-0.02469931546286225,0.15935525558185654,0.36186611914828665,0.03619648135116115
vits16,brset_to_mbrset,brset,mbrset,age65,50,scratch,100,0.7391028183870162,0.6330735475282415,0.8696241434932324,0.10602927085877469,0.034691442849896226,0.1798548803104761,0.44823083377252115,
vits16,brset_to_mbrset,brset,mbrset,age65,50,anchored,100,0.7584957151177302,0.6330735475282415,0.8696241434932324,0.1254221675894887,0.06052359302072789,0.18169752730220157,0.5302128581745401,0.019392896730714003
vits16,brset_to_mbrset,brset,mbrset,age65,100,scratch,100,0.7771331748786073,0.6332043336881553,0.8698447921375349,0.1439288411904519,0.06415834293296785,0.20095707140669877,0.6082173865515907,
vits16,brset_to_mbrset,brset,mbrset,age65,100,anchored,100,0.7832218317560771,0.6332043336881553,0.8698447921375349,0.15001749806792167,0.09010965455897589,0.19773990580206757,0.6339469550174673,0.006088656877469794
vits16,brset_to_mbrset,brset,mbrset,age65,200,scratch,100,0.8108911287097031,0.632333204647976,0.8698476295809379,0.17855792406172724,0.1267228186962434,0.21848043460870945,0.751777177795096,
vits16,brset_to_mbrset,brset,mbrset,age65,200,anchored,100,0.8080702761170412,0.632333204647976,0.8698476295809379,0.17573707146906511,0.13097899994087428,0.2111115458589401,0.739900625061685,-0.002820852592662143
vits16,brset_to_mbrset,brset,mbrset,sex,10,scratch,100,0.5311939529336852,0.6363009340952874,0.7385901420839339,-0.10510698116160228,-0.19788385056633914,-0.022821793398196618,-1.0275471208386793,
vits16,brset_to_mbrset,brset,mbrset,sex,10,anchored,100,0.6119297890595911,0.6363009340952874,0.7385901420839339,-0.024371145035696363,-0.09411839698240271,0.028757359170700478,-0.2382572464379769,0.0807358361259059
vits16,brset_to_mbrset,brset,mbrset,sex,20,scratch,100,0.5474137940490883,0.635916056492527,0.7384778829014121,-0.0885022624434389,-0.19311079116961474,-0.025262786233374437,-0.8629162091030362,
vits16,brset_to_mbrset,brset,mbrset,sex,20,anchored,100,0.611248621966269,0.635916056492527,0.7384778829014121,-0.024667434526258036,-0.11183237350884412,0.021549499520087827,-0.2405128242150827,0.06383482791718087
vits16,brset_to_mbrset,brset,mbrset,sex,50,scratch,100,0.5752862318840579,0.636271854152289,0.7389006211180125,-0.06098562226823098,-0.1255342765125374,-0.005472020933977429,-0.5942351649669464,
vits16,brset_to_mbrset,brset,mbrset,sex,50,anchored,100,0.6249632217621347,0.636271854152289,0.7389006211180125,-0.01130863239015413,-0.06864425178283869,0.032966413618587535,-0.11018969363561633,0.04967698987807684
vits16,brset_to_mbrset,brset,mbrset,sex,100,scratch,100,0.6097169257113574,0.6365305822724686,0.7385130084806668,-0.026813656561111406,-0.08941525895094714,0.029375636674978483,-0.2629242856643854,
vits16,brset_to_mbrset,brset,mbrset,sex,100,anchored,100,0.6440947184881038,0.6365305822724686,0.7385130084806668,0.007564136215635187,-0.04413595002843554,0.050144052596383985,0.07417097726418985,0.034377792776746595
vits16,brset_to_mbrset,brset,mbrset,sex,200,scratch,100,0.6518411147384583,0.6356689101560752,0.7384516569026429,0.016172204582383026,-0.03601778766602566,0.0603125046584081,0.15734357267430277,
vits16,brset_to_mbrset,brset,mbrset,sex,200,anchored,100,0.6719061833847622,0.6356689101560752,0.7384516569026429,0.036237273228686855,-0.007695597245203611,0.07329520892029281,0.3525618294482577,0.02006506864630383
vits16,mbrset_to_brset,mbrset,brset,age65,10,scratch,100,0.7527614600455088,0.6684567327167643,0.9143942056482919,0.08430472732874442,-0.04683192547021994,0.17026395099329283,0.3427892721017587,
vits16,mbrset_to_brset,mbrset,brset,age65,10,anchored,100,0.7458702769892444,0.6684567327167643,0.9143942056482919,0.07741354427247986,-0.011108032184964483,0.14809555955167603,0.31476921084747744,-0.00689118305626456
vits16,mbrset_to_brset,mbrset,brset,age65,20,scratch,100,0.7884092032925563,0.6684661109671027,0.9144156930473011,0.11994309232545383,-0.006270348800894606,0.19770318806339013,0.48767349515699976,
vits16,mbrset_to_brset,mbrset,brset,age65,20,anchored,100,0.7785433902149822,0.6684661109671027,0.9144156930473011,0.1100772792478797,0.040238070234886646,0.1688320100594322,0.4475603427209159,-0.009865813077574127
vits16,mbrset_to_brset,mbrset,brset,age65,50,scratch,100,0.8246580212194473,0.668508972095874,0.9145028582853446,0.15614904912357316,0.09421042662506618,0.21731017328601523,0.6347680080280674,
vits16,mbrset_to_brset,mbrset,brset,age65,50,anchored,100,0.8159842353659208,0.668508972095874,0.9145028582853446,0.14747526327004679,0.08338027099123171,0.19976170542166613,0.5995078396235338,-0.008673785853526378
vits16,mbrset_to_brset,mbrset,brset,age65,100,scratch,100,0.848411128652786,0.6685677383157045,0.9144564598221997,0.17984339033708138,0.13001561008204424,0.2444878132226734,0.7314015430851344,
vits16,mbrset_to_brset,mbrset,brset,age65,100,anchored,100,0.8430274641031719,0.6685677383157045,0.9144564598221997,0.17445972578746718,0.11986438008926167,0.2311112717982091,0.7095068237314776,-0.00538366454961415
vits16,mbrset_to_brset,mbrset,brset,age65,200,scratch,100,0.8660549693997212,0.6684158807586268,0.9143583607338733,0.19763908864109436,0.1531631861175782,0.25496046989495863,0.8035988279088113,
