backbone,direction,source,target,attribute,round,value,n_splits,mean,sd,minimum,maximum
vits16,mbrset_to_brset,mbrset,brset,age65,9,auroc,10,0.6671798570595703,0.07573484695838514,0.4799723949654537,0.7578943886474617
vits16,mbrset_to_brset,mbrset,brset,age65,10,auroc,10,0.6615007711423244,0.08582690163555011,0.4496348961542119,0.7606822852275594
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,0,auroc,10,0.5617718504658987,0.019723722161732345,0.5319378518160218,0.589783182994828
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,1,auroc,10,0.5572531905959146,0.025645730405646862,0.5181602181458664,0.5971344435526308
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,2,auroc,10,0.5512430168340146,0.029263674642071424,0.5001621210752083,0.596794255066948
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,3,auroc,10,0.5482477635264789,0.02989544285713386,0.49453572244871924,0.5951384939217885
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,4,auroc,10,0.5449444801760476,0.03281598140211078,0.4843433564909557,0.5945989762452759
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,5,auroc,10,0.5431680584273724,0.033473991736896705,0.4798969866741791,0.5926535233427771
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,6,auroc,10,0.5417379379262324,0.034542452575239385,0.47812960118215503,0.5945910030776427
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,7,auroc,10,0.5404919975974188,0.03489068940388013,0.47782130536700496,0.5948434867193604
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,8,auroc,10,0.5393045271645821,0.03546632476183961,0.4740234198510612,0.5950614199680011
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,9,auroc,10,0.5387987625643833,0.035826965537298125,0.47053648787281205,0.5940754049040297
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,10,auroc,10,0.5374098367626814,0.03620295363618487,0.46787876532841477,0.5946813656441522
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,0,auroc,10,0.5611403125991747,0.02447462345705546,0.5314582672167566,0.6000128927324659
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,1,auroc,10,0.5541541871628055,0.030377452925696366,0.5107778284671532,0.6019616788321168
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,2,auroc,10,0.5484687400825135,0.03195710904944775,0.5039298040304665,0.6013418359251032
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,3,auroc,10,0.5377556232148525,0.037655000227508784,0.48960647413519515,0.5931375952078705
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,4,auroc,10,0.531117353617899,0.04315934257020506,0.4725483973341796,0.5897507735639479
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,5,auroc,10,0.5262520826721676,0.04879658749683607,0.45892672960964775,0.5895573825769596
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,6,auroc,10,0.5215075571247223,0.053458916265914556,0.4496018129165344,0.5866267653125992
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,7,auroc,10,0.516788569105046,0.05738663745781271,0.4409438471913678,0.5820027372262774
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,8,auroc,10,0.5130821564582673,0.060405514414828165,0.4361313868613139,0.5777679704855602
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,9,auroc,10,0.5099353379879404,0.06270744105690845,0.42867839574738176,0.5755464535068233
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,10,auroc,10,0.5067545521263092,0.06533507438221067,0.42332543240241194,0.5755464535068233
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,0,auroc,10,0.5528033697192942,0.011250083403257402,0.5319552969367928,0.562424241292737
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,1,auroc,10,0.552301285231737,0.010635064793674964,0.5329057084433881,0.5664590852805587
