backbone,direction,source,target,attribute,split_index,k,draw,method,auroc,best_C,n_heldout,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,2,target_local,0.7340161798985327,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,3,source_readout,0.623710407239819,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,3,scratch,0.5615302344714109,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,3,anchored,0.631166872343343,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,3,target_local,0.7340298916769505,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,4,source_readout,0.6199753187988482,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,4,scratch,0.5673961332784863,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,4,anchored,0.6372411901823666,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,4,target_local,0.7367749897161662,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,5,source_readout,0.6209790209790209,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,5,scratch,0.5750226244343891,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,5,anchored,0.6304374057315234,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,5,target_local,0.7333744686685862,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,6,source_readout,0.6166899766899767,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,6,scratch,0.5419059372000548,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,6,anchored,0.6257534622240505,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,6,target_local,0.7340463458110517,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,7,source_readout,0.6200246812011518,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,7,scratch,0.5853421088715207,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,7,anchored,0.6297929521458934,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,7,target_local,0.7314904703139997,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,8,source_readout,0.6210228986699575,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,8,scratch,0.5755957767722474,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,8,anchored,0.6418510900863843,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,8,target_local,0.7338653503359386,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,9,source_readout,0.6159138900315371,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,9,scratch,0.5852132181543946,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,9,anchored,0.6236528177704649,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,9,target_local,0.7314657891128479,0.01,1267,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,20,10,source_readout,0.6211709858768683,0.01,1267,source-training-image-standardised-patient-mean-coordinates
