backbone,control_index,best_C,n_images,n_events,prevalence,auroc,auprc,brier,ece,calibration_intercept,calibration_slope,threshold,sensitivity,specificity,ppv,fpr,fnr,sex_age_sensitivity_gap,sex_age_ece_gap,analysis_unit,fairness_analysis_unit,patient_outcome_aggregation,patient_score_aggregation
convnext_tiny,16,0.01,4884.0,862.0,0.17649467649467648,0.7483316815519284,0.5284753634516741,0.14733417778606808,0.14596723692367014,1.060390834349291,0.5641667875775188,0.016164701185837405,0.5881670533642691,0.8262058677274987,0.42039800995024873,0.1737941322725013,0.4118329466357309,0.23863636363636365,0.1642604140307498,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,17,0.01,4884.0,862.0,0.17649467649467648,0.7485087817467964,0.5293808123804329,0.14737042234795825,0.14608706645411632,1.0685325668306198,0.5654022909906944,0.016103715105651204,0.5870069605568445,0.8267031327697663,0.42061512884455526,0.17329686723023374,0.41299303944315546,0.23863636363636365,0.14931962267358162,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,18,0.01,4884.0,862.0,0.17649467649467648,0.7483411999663105,0.5283255998774326,0.14742044364126528,0.14604596625762914,1.0633164266326454,0.5646852732064246,0.01628097877857227,0.5835266821345708,0.8286921929388364,0.42197986577181207,0.17130780706116355,0.4164733178654292,0.23863636363636365,0.16489640774215264,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,19,0.01,4884.0,862.0,0.17649467649467648,0.7486818438264717,0.5287422888068609,0.1474408212202838,0.14611521700288932,1.071734472104018,0.5663037660758287,0.016183127475529344,0.5846867749419954,0.8281949278965689,0.4217573221757322,0.1718050721034311,0.4153132250580046,0.23863636363636365,0.14888469818523226,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,20,0.01,4884.0,862.0,0.17649467649467648,0.7485024361372082,0.5295488245962352,0.14751508587733736,0.14628679838398703,1.0768156070072912,0.5664441016529478,0.016159428967943326,0.58584686774942,0.8289408254599702,0.42330259849119867,0.17105917454002983,0.41415313225058004,0.26388888888888884,0.14995494978528856,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,21,0.01,4884.0,862.0,0.17649467649467648,0.7478194177960891,0.5281045033383902,0.14756422426346028,0.14627057807749058,1.061088692081039,0.5629440288859899,0.016313103006854655,0.5835266821345708,0.8279462953754351,0.42092050209205023,0.17205370462456493,0.4164733178654292,0.26388888888888884,0.14997882338410817,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,22,0.01,4884.0,862.0,0.17649467649467648,0.749100365622487,0.5288271189415885,0.1475195170054405,0.14615053786037965,1.0818391016220774,0.5688285548597719,0.016129261768614674,0.5893271461716937,0.8276976628543014,0.42298084929225643,0.17230233714569865,0.4106728538283063,0.23863636363636365,0.16342513742091205,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,23,0.01,4884.0,862.0,0.17649467649467648,0.7479737314837998,0.5277839576282214,0.14743394237183347,0.1460781994207991,1.0574350429434425,0.5626310331692196,0.01618241002544657,0.5881670533642691,0.8279462953754351,0.42285237698081735,0.17205370462456493,0.4118329466357309,0.23863636363636365,0.14879717496651773,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,24,0.01,4884.0,862.0,0.17649467649467648,0.7495961884807572,0.5302760484258755,0.14688572756424145,0.14540979209200222,1.0671131550178756,0.569626380293023,0.01605250182482687,0.5951276102088167,0.8184982595723521,0.412711182622687,0.18150174042764788,0.40487238979118334,0.21590909090909094,0.16362323895783581,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,25,0.01,4884.0,862.0,0.17649467649467648,0.7482160183953452,0.5283865816348202,0.14735178691372472,0.14600782077714286,1.0599054123348257,0.5637405139717588,0.016115716906379914,0.5870069605568445,0.8264545002486325,0.420265780730897,0.17354549975136746,0.41299303944315546,0.23863636363636365,0.14862893987175507,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,26,0.01,4884.0,862.0,0.17649467649467648,0.7484995517692137,0.5281673987452129,0.14735347983382005,0.1459631340002418,1.062837252069898,0.5648857661679133,0.016240809651375657,0.58584686774942,0.8276976628543014,0.42153589315525875,0.17230233714569865,0.41415313225058004,0.23863636363636365,0.1636884358919238,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,27,0.01,4884.0,862.0,0.17649467649467648,0.7468954105090218,0.526449847177221,0.14791491716386834,0.14662969623432617,1.059481045974049,0.5605205906709498,0.016147464069582673,0.5846867749419954,0.830183988065639,0.42459983150800334,0.16981601193436102,0.4153132250580046,0.26388888888888884,0.1657792110503722,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,28,0.01,4884.0,862.0,0.17649467649467648,0.7478559050512206,0.5274657211171164,0.14744778561291078,0.14604721865145012,1.056777709681872,0.5628994931440089,0.016152611209166667,0.5893271461716937,0.8269517652909001,0.4219269102990033,0.1730482347090999,0.4106728538283063,0.23863636363636365,0.1474553989313691,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,29,0.01,4884.0,862.0,0.17649467649467648,0.7468331081603384,0.5255049631867569,0.1477565047350773,0.1463951179783942,1.0441332745207457,0.5575654496628916,0.01609322701052758,0.5823665893271461,0.8279462953754351,0.4204355108877722,0.17205370462456493,0.41763341067285387,0.26388888888888884,0.14929942741207647,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,30,0.01,4884.0,862.0,0.17649467649467648,0.7478975841687425,0.5275715076643908,0.1472793203984654,0.1458338961218119,1.047402208939388,0.5621404142617997,0.0160944339853608,0.5870069605568445,0.8224763799104923,0.41475409836065574,0.17752362008950773,0.41299303944315546,0.23863636363636365,0.14795950343126313,patient,patient,max_image_outcome,max_calibrated_image_probability
