backbone,setting,attribute,metric,method,n_splits,mean_method_minus_baseline,min_method_minus_baseline,max_method_minus_baseline,improved_splits,value_column,analysis_unit,patient_outcome_aggregation,patient_score_aggregation
convnext_tiny,internal_test,age_group,ppv,sex_erased,5,-0.00032655215770301116,-0.0068343495934959225,0.0020459016276228315,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,sensitivity,age_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,sensitivity,joint_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,age_group,sensitivity,sex_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,auprc,age_erased,5,-0.00013404501765770238,-0.0029143167045920793,0.005056721174055867,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,auprc,joint_erased,5,0.0020634193040038663,-0.003137109165692875,0.011063981988074234,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,auprc,sex_erased,5,0.0032870951732291154,-0.0015626316002937957,0.011429744138227393,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,auroc,age_erased,5,0.0002672740171004717,3.5814113328203057e-05,0.0009829785909898359,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,auroc,joint_erased,5,0.0016808468536312349,-0.00023290785335716713,0.005070990898243588,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,auroc,sex_erased,5,0.0014426162283786236,-0.00021796074751734285,0.004493324082154082,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,brier,age_erased,5,1.6677811169259204e-05,-7.2462832291855794e-06,3.199239026795142e-05,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,brier,joint_erased,5,-0.0003700530698902083,-0.0017954219094935553,7.365914347309127e-05,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,brier,sex_erased,5,-0.000423501182912378,-0.002033520245608475,6.700757051744319e-05,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,ece,age_erased,5,-4.205081421081863e-07,-5.086657037315853e-05,9.090585949040123e-05,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,ece,joint_erased,5,1.0863802690596128e-05,-0.001636116119750803,0.001017656879193491,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,ece,sex_erased,5,0.0002442190582142616,-0.0004593159723691939,0.0010611629870911094,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,fnr,age_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,fnr,joint_erased,5,0.007424749163879585,0.0,0.037123745819397924,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,fnr,sex_erased,5,0.004347826086956519,0.0,0.021739130434782594,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,fpr,age_erased,5,-0.0004304303990638303,-0.002955665024630516,0.0025799534268147184,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,fpr,joint_erased,5,0.0020077398395719646,-0.004521359261228208,0.008162034477559477,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,fpr,sex_erased,5,0.000484432394593548,-0.006224936774005041,0.0053709939521870975,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,ppv,age_erased,5,0.0002706540787948297,-0.0007936507936508186,0.0018210909638652212,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,ppv,joint_erased,5,0.002571437522552231,0.00019380847365443876,0.008480230397377914,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,ppv,sex_erased,5,0.0018454522032546078,-0.0001314958975785624,0.0055303778900032685,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,sensitivity,age_erased,5,0.0,0.0,0.0,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,sensitivity,joint_erased,5,0.007424749163879585,0.0,0.037123745819397924,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex,sensitivity,sex_erased,5,0.004347826086956519,0.0,0.021739130434782594,0,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,auprc,age_erased,5,0.002568060582531351,-0.0008632507724807281,0.007584210404292413,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,auprc,joint_erased,5,0.006889620192579648,-0.0010772603224311617,0.03450481736959787,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,internal_test,sex_age,auprc,sex_erased,5,0.006441685659111218,-0.004774956678475162,0.027923907036011664,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
