backbone,direction,source,target,split_index,attribute,outcome,method,status,auroc,target_local_auroc,transport_penalty,best_C,source_train_n,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,1,age65,0,unaligned,complete,0.6285361928053343,0.8808929579231204,0.25235676511778604,0.1,3150,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0,mean_variance,complete,0.5922493258920174,0.8808929579231204,0.288643632031103,0.1,3150,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0,coral,complete,0.6104387450095106,0.8808929579231204,0.2704542129136098,0.1,3150,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0,subspace,complete,0.5127359377939424,0.8808929579231204,0.36815702012917795,0.1,3150,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0,ot_gaussian,complete,0.6189586338078217,0.8808929579231204,0.2619343241152987,0.1,3150,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0,ot_entropic,complete,0.6388453418615833,0.8808929579231204,0.24204761606153713,0.1,3150,986,555,431,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,1,unaligned,complete,0.6440477876941966,0.8069603815460169,0.16291259385182033,0.01,238,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,1,mean_variance,complete,0.6461727345705246,0.8069603815460169,0.1607876469754923,0.01,238,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,1,coral,complete,0.622137224347169,0.8069603815460169,0.1848231571988479,0.01,238,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,1,subspace,complete,0.5201869953251168,0.8069603815460169,0.2867733862209001,0.01,238,298,181,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,1,ot_gaussian,complete,0.6321953062284554,0.8069603815460169,0.17476507531756147,0.01,238,298,181,117,source-training-image-standardised-patient-mean-coordinates
