backbone,direction,source,target,attribute,evaluation,method,value,n_splits,mean,sd,minimum,maximum
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,unaligned,auroc,5,0.6325179506505871,0.04600977944675568,0.587801987464297,0.6916603855918756
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,mean_variance,auroc,5,0.6322685258648049,0.04388276657383643,0.5905540899714377,0.6922628728974928
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,coral,auroc,5,0.6025641661377341,0.020687506693725394,0.5737563471913678,0.6308389201840686
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,subspace,auroc,5,0.5037235203110123,0.15884292561136787,0.3334085409393843,0.6782841756585211
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,ot_gaussian,auroc,5,0.6036927761028245,0.027444729532294418,0.5652149119327198,0.6414605482386544
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,target_external,ot_entropic,auroc,5,0.6161367423040305,0.02450196504227345,0.5794241907331006,0.6478920382418281
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,source_internal,unaligned,auroc,5,0.7242185231978591,0.011525912106770673,0.7065201614073795,0.7362643748379618
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,target_local_cv,target_local,auroc,5,0.7217353865125896,0.003396778716538136,0.7163040647208594,0.7247423337993207
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,target_external,unaligned,auroc,5,0.5617718504658987,0.020920166536200498,0.5319378518160218,0.589783182994828
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,target_external,mean_variance,auroc,5,0.5737278811041243,0.016582036697878246,0.5471240784347078,0.588698832196714
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,target_external,coral,auroc,5,0.5979115616246127,0.006318603467878924,0.5871626685660524,0.6035395548846283
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,target_external,subspace,auroc,5,0.48738166490371065,0.04287457215780638,0.44880429062727567,0.5604844496653927
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,target_external,ot_gaussian,auroc,5,0.597799405733239,0.005987042084311262,0.5881247641271242,0.6040498376131525
