backbone,direction,source,target,attribute,outcome,method,value,n_splits,mean,sd,minimum,maximum
vits16,mbrset_to_brset,mbrset,brset,sex,1,subspace,transport_penalty,5,0.1964162122483221,0.02057644752469689,0.16981700922818777,0.21749161073825496
vits16,mbrset_to_brset,mbrset,brset,sex,1,ot_gaussian,transport_penalty,5,0.10033032718120798,0.018220911152666247,0.0816511115771813,0.12194578439597303
vits16,mbrset_to_brset,mbrset,brset,sex,1,ot_entropic,transport_penalty,5,0.1503198406040268,0.01671979110223754,0.12829016359060397,0.1748767827181208
vits16,brset_to_mbrset,brset,mbrset,age65,0,unaligned,transport_penalty,5,0.27932526494011406,0.024427963744656757,0.25235676511778604,0.3117409753140612
vits16,brset_to_mbrset,brset,mbrset,age65,0,mean_variance,transport_penalty,5,0.3097702807215568,0.023638659320157955,0.28701323132877654,0.3425388265295458
vits16,brset_to_mbrset,brset,mbrset,age65,0,coral,transport_penalty,5,0.2803938044773312,0.006561229865527896,0.2704542129136098,0.2862690997261762
vits16,brset_to_mbrset,brset,mbrset,age65,0,subspace,transport_penalty,5,0.37356660604920455,0.1604217865704546,0.20176417717020956,0.5370414498024707
vits16,brset_to_mbrset,brset,mbrset,age65,0,ot_gaussian,transport_penalty,5,0.27312807006542505,0.00756625831260126,0.2619343241152987,0.27922911310382303
vits16,brset_to_mbrset,brset,mbrset,age65,0,ot_entropic,transport_penalty,5,0.25195376350828785,0.007473262208951596,0.24204761606153713,0.26047532451244737
vits16,brset_to_mbrset,brset,mbrset,age65,1,unaligned,transport_penalty,5,0.15620720593096282,0.05630300862769528,0.08887000047221028,0.22033338055437512
vits16,brset_to_mbrset,brset,mbrset,age65,1,mean_variance,transport_penalty,5,0.1515795438447372,0.05495497717650315,0.08565896963687014,0.21277801388298623
vits16,brset_to_mbrset,brset,mbrset,age65,1,coral,transport_penalty,5,0.18123435802993818,0.03518422356804813,0.14662133446663828,0.23931623931623924
vits16,brset_to_mbrset,brset,mbrset,age65,1,subspace,transport_penalty,5,0.28249515984322615,0.07712867749306186,0.23006091514378813,0.41469518817585116
vits16,brset_to_mbrset,brset,mbrset,age65,1,ot_gaussian,transport_penalty,5,0.1782122113613826,0.049648585892706494,0.1240024554941681,0.25759078245266087
vits16,brset_to_mbrset,brset,mbrset,age65,1,ot_entropic,transport_penalty,5,0.16046654389195822,0.049146164327439866,0.11361382632100847,0.23851348160740427
vits16,mbrset_to_brset,mbrset,brset,age65,0,unaligned,transport_penalty,5,0.1519592763691926,0.024010992588949787,0.11891130091199931,0.1809459007783032
vits16,mbrset_to_brset,mbrset,brset,age65,0,mean_variance,transport_penalty,5,0.15702907892852025,0.02362989601524238,0.12408024160817444,0.18254742037912441
vits16,mbrset_to_brset,mbrset,brset,age65,0,coral,transport_penalty,5,0.2737718450078785,0.014053802441976512,0.2646470479396458,0.2976446485699279
vits16,mbrset_to_brset,mbrset,brset,age65,0,subspace,transport_penalty,5,0.2605634340829872,0.035161645635849774,0.21364134197583928,0.3023725111015614
vits16,mbrset_to_brset,mbrset,brset,age65,0,ot_gaussian,transport_penalty,5,0.24703280929188756,0.020092826921629173,0.2289103160960705,0.2811934476913527
vits16,mbrset_to_brset,mbrset,brset,age65,0,ot_entropic,transport_penalty,5,0.22621269636632765,0.01966248968518227,0.20393493649429406,0.2553766473284629
vits16,mbrset_to_brset,mbrset,brset,age65,1,unaligned,transport_penalty,5,0.22816117296880165,0.09047026044301706,0.13934516591335022,0.35461911586374156
vits16,mbrset_to_brset,mbrset,brset,age65,1,mean_variance,transport_penalty,5,0.21941351559916217,0.08492163024194793,0.13537647447910928,0.33524418476463447
vits16,mbrset_to_brset,mbrset,brset,age65,1,coral,transport_penalty,5,0.1805534119722192,0.026982641120916338,0.14667622092382326,0.20493881600705544
vits16,mbrset_to_brset,mbrset,brset,age65,1,subspace,transport_penalty,5,0.2485448131407783,0.09569467081127336,0.08910263477014668,0.34513835299305484
vits16,mbrset_to_brset,mbrset,brset,age65,1,ot_gaussian,transport_penalty,5,0.18216293683166132,0.028408650158437902,0.14821960092602793,0.21924264138463234
vits16,mbrset_to_brset,mbrset,brset,age65,1,ot_entropic,transport_penalty,5,0.1813581744019403,0.026651589307899185,0.1556333370080477,0.21720317495314745
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,0,unaligned,transport_penalty,5,0.14066724213928894,0.023242998788205092,0.10303408756979138,0.16630087422862194
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,0,mean_variance,transport_penalty,5,0.1295841904202175,0.019064263659993735,0.10176223185424627,0.15531791801351746
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,0,coral,transport_penalty,5,0.10254922127534534,0.011209398549169143,0.084470503967088,0.1111381501616222
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,0,subspace,transport_penalty,5,0.22414689244784017,0.044368167286354294,0.14806328974434324,0.25954580517190723
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,0,ot_gaussian,transport_penalty,5,0.10523343373493974,0.010044763781299646,0.09055429033205997,0.11542664560681759
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,0,ot_entropic,transport_penalty,5,0.13922641786658835,0.015211714074610068,0.12824621657361157,0.1655983690861006
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,1,unaligned,transport_penalty,5,0.1327604019911712,0.04122308458579109,0.08950878181647404,0.19944585329200715
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,1,mean_variance,transport_penalty,5,0.13726871419179115,0.04492159787467348,0.09265520803982341,0.21170282708744248
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,1,coral,transport_penalty,5,0.12133934441626751,0.041674397276744116,0.09509721048182596,0.19395134779750167
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,1,subspace,transport_penalty,5,0.11823048746125671,0.06741468979318135,0.04019911712219404,0.21203155818540437
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,1,ot_gaussian,transport_penalty,5,0.11190945806330424,0.04216365861743941,0.08255846717385185,0.18357283741899122
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,1,ot_entropic,transport_penalty,5,0.12568798722644878,0.03258866052105395,0.09129332206255292,0.16661970508124346
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,0,unaligned,transport_penalty,5,0.17300333937400503,0.008154055068428534,0.16239939636469236,0.1830602210162472
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,0,mean_variance,transport_penalty,5,0.1642895624858633,0.00825848821594299,0.1531241447105255,0.17360925545347416
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,0,coral,transport_penalty,5,0.16636753465558726,0.006349206899854508,0.15622774897797131,0.1716020411964092
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,0,subspace,transport_penalty,5,0.2477942236279335,0.023006423860783106,0.20813157273935012,0.2679179602287359
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,0,ot_gaussian,transport_penalty,5,0.16232828756404377,0.00868565806425063,0.1476952327278087,0.16995502695629494
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,0,ot_entropic,transport_penalty,5,0.18020126665165945,0.003787867835162495,0.17614293665176206,0.18618885979217714
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,1,unaligned,transport_penalty,5,0.09185717281879187,0.04688533093328441,0.04760906040268453,0.15361524748322153
