method,mean_l2_distance,covariance_frobenius_distance,covariance_relative_distance,backbone,direction,source,target,split_index,source_reference_n,target_n,source_shrinkage,target_shrinkage,subspace_components,subspace_source_variance,ot_regularisation,ot_regularisation_scale,ot_iterations,ot_variance_kept,ot_support_patients,coordinate_space
subspace,1.2462035396873389e-08,9.10668725904427,0.12906249648055787,vits16,brset_to_mbrset,brset,mbrset,4,5114,1287,0.004529404763106219,0.014355849418782082,102.0,0.9504853195467141,10.723853003830346,0.01,194.0,0.4508948961915267,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,1.2240275376093991e-08,0.9777506170002611,0.013856952805767373,vits16,brset_to_mbrset,brset,mbrset,4,5114,1287,0.004529404763106219,0.014355849418782082,102.0,0.9504853195467141,10.723853003830346,0.01,194.0,0.4508948961915267,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,0.21772246847175292,29.153529922932186,0.41317190829600914,vits16,brset_to_mbrset,brset,mbrset,4,5114,1287,0.004529404763106219,0.014355849418782082,102.0,0.9504853195467141,10.723853003830346,0.01,194.0,0.4508948961915267,3000.0,source-training-image-standardised-patient-mean-coordinates
unaligned,20.434905738024977,65.18012825462021,1.1656117569229094,vits16,mbrset_to_brset,mbrset,brset,4,772,8524,0.02689586760810161,0.0023516632195356136,84.0,0.9503355794142931,8.760081759159624,0.01,226.0,0.6005296699163573,772.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,3.831404924273514e-09,56.369808498860905,1.00805741383468,vits16,mbrset_to_brset,mbrset,brset,4,772,8524,0.02689586760810161,0.0023516632195356136,84.0,0.9503355794142931,8.760081759159624,0.01,226.0,0.6005296699163573,772.0,source-training-image-standardised-patient-mean-coordinates
coral,4.46106167457047e-09,1.606286322203746,0.028725107978173254,vits16,mbrset_to_brset,mbrset,brset,4,772,8524,0.02689586760810161,0.0023516632195356136,84.0,0.9503355794142931,8.760081759159624,0.01,226.0,0.6005296699163573,772.0,source-training-image-standardised-patient-mean-coordinates
subspace,4.381823369103331e-09,8.9353171872656,0.15978966357087312,vits16,mbrset_to_brset,mbrset,brset,4,772,8524,0.02689586760810161,0.0023516632195356136,84.0,0.9503355794142931,8.760081759159624,0.01,226.0,0.6005296699163573,772.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,4.249106877381465e-09,1.429211966257059,0.025558499432471595,vits16,mbrset_to_brset,mbrset,brset,4,772,8524,0.02689586760810161,0.0023516632195356136,84.0,0.9503355794142931,8.760081759159624,0.01,226.0,0.6005296699163573,772.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,6.072488274802165e-09,17.03102244168199,0.30456460461222384,vits16,mbrset_to_brset,mbrset,brset,4,772,8524,0.02689586760810161,0.0023516632195356136,84.0,0.9503355794142931,8.760081759159624,0.01,226.0,0.6005296699163573,772.0,source-training-image-standardised-patient-mean-coordinates
unaligned,26.96197105142775,153.92910004379343,0.7833306299115675,convnext_tiny,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0034020928616196413,0.012315806410320844,55.0,0.9505214457890796,75.89584056016939,0.05,288.0,0.35460407562751156,3000.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,1.7331789894934425e-08,149.44909867596223,0.7605323267156839,convnext_tiny,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0034020928616196413,0.012315806410320844,55.0,0.9505214457890796,75.89584056016939,0.05,288.0,0.35460407562751156,3000.0,source-training-image-standardised-patient-mean-coordinates
coral,1.7486207379763253e-08,2.5914672840998416,0.013187731880921878,convnext_tiny,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0034020928616196413,0.012315806410320844,55.0,0.9505214457890796,75.89584056016939,0.05,288.0,0.35460407562751156,3000.0,source-training-image-standardised-patient-mean-coordinates
subspace,1.4101094632128762e-08,50.94962485656436,0.25927782155093454,convnext_tiny,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0034020928616196413,0.012315806410320844,55.0,0.9505214457890796,75.89584056016939,0.05,288.0,0.35460407562751156,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,1.814486880783325e-08,1.861993439772168,0.009475508488342839,convnext_tiny,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0034020928616196413,0.012315806410320844,55.0,0.9505214457890796,75.89584056016939,0.05,288.0,0.35460407562751156,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,0.21848671476938053,95.4241407029144,0.4856044258318778,convnext_tiny,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0034020928616196413,0.012315806410320844,55.0,0.9505214457890796,75.89584056016939,0.05,288.0,0.35460407562751156,3000.0,source-training-image-standardised-patient-mean-coordinates
unaligned,28.20273905587039,175.0143344910911,1.2987450574107264,convnext_tiny,mbrset_to_brset,mbrset,brset,0,772,8524,0.021302394903222544,0.0016847556648014622,53.0,0.9500904186173119,79.6283880029534,0.05,178.0,0.37129414403398303,772.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,5.634279512940304e-09,102.83274800846428,0.7631004831935871,convnext_tiny,mbrset_to_brset,mbrset,brset,0,772,8524,0.021302394903222544,0.0016847556648014622,53.0,0.9500904186173119,79.6283880029534,0.05,178.0,0.37129414403398303,772.0,source-training-image-standardised-patient-mean-coordinates
coral,5.524712854711381e-09,3.0053241662945362,0.02230188697538216,convnext_tiny,mbrset_to_brset,mbrset,brset,0,772,8524,0.021302394903222544,0.0016847556648014622,53.0,0.9500904186173119,79.6283880029534,0.05,178.0,0.37129414403398303,772.0,source-training-image-standardised-patient-mean-coordinates
subspace,6.767728254206133e-09,90.54984188064492,0.6719515857588039,convnext_tiny,mbrset_to_brset,mbrset,brset,0,772,8524,0.021302394903222544,0.0016847556648014622,53.0,0.9500904186173119,79.6283880029534,0.05,178.0,0.37129414403398303,772.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,5.8435507525660904e-09,2.7895948380477056,0.02070100439845604,convnext_tiny,mbrset_to_brset,mbrset,brset,0,772,8524,0.021302394903222544,0.0016847556648014622,53.0,0.9500904186173119,79.6283880029534,0.05,178.0,0.37129414403398303,772.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,1.7470751172721292e-08,60.457235824850216,0.4486406010145176,convnext_tiny,mbrset_to_brset,mbrset,brset,0,772,8524,0.021302394903222544,0.0016847556648014622,53.0,0.9500904186173119,79.6283880029534,0.05,178.0,0.37129414403398303,772.0,source-training-image-standardised-patient-mean-coordinates
unaligned,26.795848165149366,153.44773662065649,0.7869851344942834,convnext_tiny,brset_to_mbrset,brset,mbrset,1,5114,1287,0.003323048098751191,0.012312744482565498,55.0,0.9504911330186052,75.26187984346971,0.05,215.0,0.35439815504741223,3000.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,1.7569940607159303e-08,149.25135079599568,0.7654631926570128,convnext_tiny,brset_to_mbrset,brset,mbrset,1,5114,1287,0.003323048098751191,0.012312744482565498,55.0,0.9504911330186052,75.26187984346971,0.05,215.0,0.35439815504741223,3000.0,source-training-image-standardised-patient-mean-coordinates
coral,1.6895427421668543e-08,2.574875841913704,0.013205727600688204,convnext_tiny,brset_to_mbrset,brset,mbrset,1,5114,1287,0.003323048098751191,0.012312744482565498,55.0,0.9504911330186052,75.26187984346971,0.05,215.0,0.35439815504741223,3000.0,source-training-image-standardised-patient-mean-coordinates
subspace,1.4993423383936457e-08,49.898402964578814,0.2559132003700258,convnext_tiny,brset_to_mbrset,brset,mbrset,1,5114,1287,0.003323048098751191,0.012312744482565498,55.0,0.9504911330186052,75.26187984346971,0.05,215.0,0.35439815504741223,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,1.7154082651182183e-08,1.8605710049445683,0.009542282961020587,convnext_tiny,brset_to_mbrset,brset,mbrset,1,5114,1287,0.003323048098751191,0.012312744482565498,55.0,0.9504911330186052,75.26187984346971,0.05,215.0,0.35439815504741223,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,0.263313044280842,94.73827892649966,0.4858828082100993,convnext_tiny,brset_to_mbrset,brset,mbrset,1,5114,1287,0.003323048098751191,0.012312744482565498,55.0,0.9504911330186052,75.26187984346971,0.05,215.0,0.35439815504741223,3000.0,source-training-image-standardised-patient-mean-coordinates
unaligned,28.269723208585564,177.01899733571517,1.2939464015068953,convnext_tiny,mbrset_to_brset,mbrset,brset,1,772,8524,0.024016542598690245,0.0016767742843483231,52.0,0.9503369912582231,79.92002607548743,0.05,210.0,0.3776782513897826,772.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,5.711410356017223e-09,105.55574746566234,0.7715752639392418,convnext_tiny,mbrset_to_brset,mbrset,brset,1,772,8524,0.024016542598690245,0.0016767742843483231,52.0,0.9503369912582231,79.92002607548743,0.05,210.0,0.3776782513897826,772.0,source-training-image-standardised-patient-mean-coordinates
coral,5.445226305154079e-09,3.415831100642617,0.024968519917947234,convnext_tiny,mbrset_to_brset,mbrset,brset,1,772,8524,0.024016542598690245,0.0016767742843483231,52.0,0.9503369912582231,79.92002607548743,0.05,210.0,0.3776782513897826,772.0,source-training-image-standardised-patient-mean-coordinates
subspace,6.945452859644348e-09,90.37230858299486,0.6605896838578683,convnext_tiny,mbrset_to_brset,mbrset,brset,1,772,8524,0.024016542598690245,0.0016767742843483231,52.0,0.9503369912582231,79.92002607548743,0.05,210.0,0.3776782513897826,772.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,5.779257217725244e-09,3.201089638228301,0.023398835608763366,convnext_tiny,mbrset_to_brset,mbrset,brset,1,772,8524,0.024016542598690245,0.0016767742843483231,52.0,0.9503369912582231,79.92002607548743,0.05,210.0,0.3776782513897826,772.0,source-training-image-standardised-patient-mean-coordinates
