backbone,attribute,target,direction,n_splits,statistic,method,estimate,ci_low,ci_high,p_value_above_zero,valid_replicates,coordinate_space
vits16,sex,brset,mbrset_to_brset,5,external_auroc,coral,0.5890013409612074,0.5781063839627757,0.6001759919919881,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,transport_penalty,coral,0.1723645304792128,0.15971572991150534,0.18537829124348004,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,external_auroc,subspace,0.4865390925431262,0.4795722278908895,0.4931108036801246,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,transport_penalty,subspace,0.27482677889729396,0.2619936998756492,0.2880519974684553,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,external_auroc,ot_gaussian,0.5945104371402847,0.583832820584643,0.6055092604923096,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,transport_penalty,ot_gaussian,0.1668554343001354,0.15509022390571175,0.17963732734063487,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,external_auroc,ot_entropic,0.5624274501713659,0.5522550898570461,0.5726865777089507,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,transport_penalty,ot_entropic,0.1989384212690543,0.1863745997324369,0.21265903475818332,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,mean_variance,0.004008916248501138,0.0020434600138957513,0.006067235732579706,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,coral,-0.007301470763265045,-0.013693197541107942,-0.00039569404392332687,0.9825087456271864,2000,source-training-image-standardised-patient-mean-coordinates
vits16,sex,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,subspace,-0.10976371918134624,-0.12186596345145034,-0.0976765193942495,1.0,2000,source-training-image-standardised-patient-mean-coordinates
