backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,method,target_local_auroc,external_auroc,transport_penalty,n,n_negative,n_positive,coordinate_space
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,coral,0.7635135213977362,0.5991877803101341,0.16432574108760212,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,unaligned,0.7430832770782061,0.5546852990735178,0.18839797800468827,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,mean_variance,0.7430832770782061,0.5519584757429664,0.19112480133523968,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,coral,0.7430832770782061,0.5609654974459286,0.1821177796322775,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,unaligned,0.8683627221516981,0.6581814304982545,0.21018129165344357,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,mean_variance,0.8683627221516981,0.6292174111393208,0.23914531101237724,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,coral,0.8683627221516981,0.6044782410345922,0.26388448111710583,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,unaligned,0.9157272461329176,0.7006636889133302,0.21506355721958736,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,mean_variance,0.9157272461329176,0.713898574110292,0.20182867202262555,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,coral,0.9157272461329176,0.6424318479712547,0.2732953981616628,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,unaligned,0.8657494644557283,0.6640625000000001,0.2016869644557282,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,mean_variance,0.8657494644557283,0.6577599373214853,0.207989527134243,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,coral,0.8657494644557283,0.607508033164075,0.25824143129165333,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,sex,0.1,5104,2003,1700,False,unaligned,0.7244473265968927,0.5319378518160218,0.19250947478087088,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,sex,0.1,5104,2003,1700,False,mean_variance,0.7244473265968927,0.5471240784347078,0.17732324816218492,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,sex,0.1,5104,2003,1700,False,coral,0.7244473265968927,0.5871626685660524,0.13728465803084033,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,sex,0.1,772,266,257,False,unaligned,0.73948117916838,0.5562948747090423,0.1831863044593377,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,sex,0.1,772,266,257,False,mean_variance,0.73948117916838,0.5630058651300145,0.17647531403836547,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,sex,0.1,772,266,257,False,coral,0.73948117916838,0.5666466004789747,0.17283457868940522,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.01,772,303,257,True,unaligned,0.7005065619169621,0.5911093865444823,0.10939717537247984,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.01,772,303,257,True,mean_variance,0.7005065619169621,0.5834710919518846,0.11703546996507752,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.01,772,303,257,True,coral,0.7005065619169621,0.6160600857912837,0.08444647612567846,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,unaligned,0.8548079974611233,0.570404236750238,0.28440376071088536,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,mean_variance,0.8548079974611233,0.5636677840368137,0.2911402134243096,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,coral,0.8548079974611233,0.5273375515709298,0.3274704458901936,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,unaligned,0.9041125609367829,0.5844961628950295,0.31961639804175346,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,mean_variance,0.9041125609367829,0.5639042853185252,0.3402082756182577,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,coral,0.9041125609367829,0.5666769347816198,0.3374356261551631,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.01,770,318,256,True,unaligned,0.8465318549666773,0.5677091597905427,0.27882269517613456,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.01,770,318,256,True,mean_variance,0.8465318549666773,0.5637892732465883,0.2827425817200889,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.01,770,318,256,True,coral,0.8465318549666773,0.5161580649000317,0.3303737900666456,1284,736,548,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,unaligned,0.7219198324571707,0.5668018561534249,0.1551179763037458,1287,838,449,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,mean_variance,0.7219198324571707,0.5822166469109291,0.13970318554624162,1287,838,449,source-training-image-standardised-patient-mean-coordinates
