backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,evaluation,method,auroc,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,target_external,unaligned,0.6510358814662012,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,target_external,mean_variance,0.6068807521421771,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,target_external,coral,0.6064443827356394,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,source_internal,unaligned,0.8115590092277806,258,142,116,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,target_local_cv,target_local,0.9124502788930283,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,target_external,unaligned,0.622990223238467,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,target_external,mean_variance,0.633624053645043,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,target_external,coral,0.6322155043022714,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,source_internal,unaligned,0.8849707476596523,1136,673,463,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,target_local_cv,target_local,0.8702247302443669,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,target_external,unaligned,0.6916603855918756,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,target_external,mean_variance,0.6922628728974928,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,target_external,coral,0.6308389201840686,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,source_internal,unaligned,0.7483656051325225,1701,1036,665,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,target_local_cv,target_local,0.7394209354120267,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,target_external,unaligned,0.6224891166261808,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,target_external,mean_variance,0.6186407343818935,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,target_external,coral,0.6218432900478921,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,source_internal,unaligned,0.6759605576334581,258,173,85,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,target_local_cv,target_local,0.7628467747619245,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,target_external,unaligned,0.6091600999396498,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
